K	Thea	Acc
0	0	0.177215189873
0	1	0.198704739476
0	2	0.191345304681
0	3	0.242861348248
0	4	0.258757727407
0	5	0.259640859582
0	6	0.299087430085
0	7	0.287606711805
0	8	0.296732410951
0	9	0.224904327348
0	10	0.27553723874
0	11	0.247571386518
0	12	0.219016779511
0	13	0.188401530762
0	14	0.203709155137
0	15	0.214895496026
0	16	0.23344127171
0	17	0.225787459523
0	18	0.21401236385
0	19	0.20576979688
0	20	0.222843685605
0	21	0.210479835149
0	22	0.226081836915
0	23	0.226670591699
0	24	0.228436856049
0	25	0.22372681778
0	26	0.225787459523
0	27	0.219016779511
0	28	0.206358551663
0	29	0.206652929055
0	30	0.200176626435
0	31	0.221960553429
0	32	0.196349720341
0	33	0.219311156903
0	34	0.21548425081
0	35	0.219016779511
0	36	0.188990285546
0	37	0.217839269944
0	38	0.212834854283
0	39	0.211068589932
0	40	0.211362967324
0	41	0.211657344716
0	42	0.211068589932
0	43	0.209596702973
0	44	0.21077421254
0	45	0.205181042096
0	46	0.213423609067
0	47	0.214601118634
0	48	0.214895496026
0	49	0.213129231675
0	50	0.204886664704
0	51	0.208713570798
0	52	0.212540476891
0	53	0.204592287312
0	54	0.197527229909
0	55	0.213423609067
0	56	0.213423609067
0	57	0.211657344716
0	58	0.213129231675
0	59	0.213129231675
0	60	0.213423609067
0	61	0.213129231675
0	62	0.213423609067
0	63	0.211657344716
0	64	0.21401236385
0	65	0.21401236385
0	66	0.213129231675
0	67	0.211362967324
0	68	0.214306741242
0	69	0.198704739476
0	70	0.213129231675
0	71	0.214895496026
0	72	0.198704739476
0	73	0.195466588166
0	74	0.214306741242
0	75	0.215778628201
0	76	0.21725051516
0	77	0.213423609067
0	78	0.216367382985
0	79	0.197232852517
0	80	0.213129231675
0	81	0.199882249043
0	82	0.205181042096
0	83	0.216073005593
0	84	0.216073005593
0	85	0.220194289079
0	86	0.215778628201
0	87	0.215778628201
0	88	0.213717986459
0	89	0.184869002061
0	90	0.200471003827
0	91	0.211951722108
0	92	0.214895496026
0	93	0.213423609067
0	94	0.194877833382
0	95	0.231086252576
0	96	0.212834854283
0	97	0.212540476891
0	98	0.212834854283
0	99	0.201648513394
1	0	0.178392699441
1	1	0.188695908154
1	2	0.224315572564
1	3	0.228436856049
1	4	0.241978216073
1	5	0.279658522225
1	6	0.299970562261
1	7	0.289961730939
1	8	0.297615543126
1	9	0.215189873418
1	10	0.221371798646
1	11	0.192228436856
1	12	0.234030026494
1	13	0.228436856049
1	14	0.214895496026
1	15	0.210185457757
1	16	0.198115984692
1	17	0.22372681778
1	18	0.213423609067
1	19	0.206947306447
1	20	0.217544892552
1	21	0.220194289079
1	22	0.211362967324
1	23	0.20900794819
1	24	0.213129231675
1	25	0.208419193406
1	26	0.227259346482
1	27	0.208124816014
1	28	0.210185457757
1	29	0.217839269944
1	30	0.207241683839
1	31	0.206947306447
1	32	0.209302325581
1	33	0.220194289079
1	34	0.215778628201
1	35	0.219016779511
1	36	0.211657344716
1	37	0.212540476891
1	38	0.198115984692
1	39	0.21077421254
1	40	0.213129231675
1	41	0.211657344716
1	42	0.208419193406
1	43	0.208419193406
1	44	0.209596702973
1	45	0.21077421254
1	46	0.21401236385
1	47	0.20576979688
1	48	0.205475419488
1	49	0.201942890786
1	50	0.214601118634
1	51	0.212834854283
1	52	0.214306741242
1	53	0.20576979688
1	54	0.213129231675
1	55	0.213423609067
1	56	0.190756549897
1	57	0.214601118634
1	58	0.213717986459
1	59	0.213717986459
1	60	0.213717986459
1	61	0.213129231675
1	62	0.212540476891
1	63	0.212540476891
1	64	0.212540476891
1	65	0.211951722108
1	66	0.211362967324
1	67	0.214601118634
1	68	0.195760965558
1	69	0.216367382985
1	70	0.205181042096
1	71	0.203414777745
1	72	0.214895496026
1	73	0.203414777745
1	74	0.215189873418
1	75	0.214895496026
1	76	0.199882249043
1	77	0.184574624669
1	78	0.216661760377
1	79	0.194877833382
1	80	0.215189873418
1	81	0.20253164557
1	82	0.193111569031
1	83	0.197527229909
1	84	0.216367382985
1	85	0.216073005593
1	86	0.211951722108
1	87	0.20253164557
1	88	0.202826022961
1	89	0.214895496026
1	90	0.211951722108
1	91	0.2122460995
1	92	0.211657344716
1	93	0.194583455991
1	94	0.214601118634
1	95	0.201942890786
1	96	0.216073005593
1	97	0.201059758611
1	98	0.212540476891
1	99	0.2122460995
2	0	0.177509567265
2	1	0.193994701207
2	2	0.226376214307
2	3	0.239328819547
2	4	0.248454518693
2	5	0.255519576097
2	6	0.266117162202
2	7	0.283485428319
2	8	0.298793052694
2	9	0.285546070062
2	10	0.275242861348
2	11	0.243450103032
2	12	0.233735649102
2	13	0.228436856049
2	14	0.229908743009
2	15	0.23344127171
2	16	0.216661760377
2	17	0.215778628201
2	18	0.223432440389
2	19	0.184280247277
2	20	0.20576979688
2	21	0.220783043862
2	22	0.226081836915
2	23	0.229319988225
2	24	0.225493082131
2	25	0.224021195172
2	26	0.22696496909
2	27	0.225198704739
2	28	0.219605534295
2	29	0.207241683839
2	30	0.206064174271
2	31	0.205475419488
2	32	0.218428024728
2	33	0.218133647336
2	34	0.211657344716
2	35	0.219899911687
2	36	0.211362967324
2	37	0.200471003827
2	38	0.211951722108
2	39	0.210479835149
2	40	0.204592287312
2	41	0.201059758611
2	42	0.207241683839
2	43	0.195760965558
2	44	0.21077421254
2	45	0.201648513394
2	46	0.211362967324
2	47	0.214306741242
2	48	0.211068589932
2	49	0.213717986459
2	50	0.211362967324
2	51	0.214895496026
2	52	0.201354136002
2	53	0.214306741242
2	54	0.213423609067
2	55	0.198704739476
2	56	0.21401236385
2	57	0.211657344716
2	58	0.213129231675
2	59	0.213129231675
2	60	0.213717986459
2	61	0.193405946423
2	62	0.212834854283
2	63	0.213129231675
2	64	0.212540476891
2	65	0.201059758611
2	66	0.214601118634
2	67	0.194583455991
2	68	0.213717986459
2	69	0.200176626435
2	70	0.18634088902
2	71	0.208419193406
2	72	0.213129231675
2	73	0.213423609067
2	74	0.215189873418
2	75	0.21548425081
2	76	0.211362967324
2	77	0.202826022961
2	78	0.214895496026
2	79	0.213423609067
2	80	0.213717986459
